,transit
0,5399
1,5363
2,4271
3,4202
4,0
5,4984
6,1024
7,703
8,3446
9,1139
10,2148
11,4511
12,5118
13,4203
14,4810
15,4729
16,4898
17,4774
18,4702
19,3983
20,5053
21,1691
22,0
23,4877
24,5134
25,5216
26,5390
27,5394
28,6209
29,5858
30,194
31,11
32,1102
33,572
34,930
35,3745
36,6384
37,6810
38,5867
39,5756
40,5631
41,5499
42,4979
43,5498
44,6728
45,7648
46,5552
47,6813
48,5277
49,2971
50,4962
51,4432
52,3239
53,1111
54,426
55,1410
56,5094
57,6094
58,5686
59,5675
60,5606
61,5563
62,5034
63,7053
64,7501
65,6448
66,7116
67,6512
68,2931
69,4878
70,5659
71,6031
72,1879
73,3309
74,3756
75,4628
76,5222
77,4163
78,4982
79,4539
80,4663
81,4683
82,5114
83,4257
84,4371
85,5252
86,5619
87,5313
88,3757
89,723
90,1536
91,1027
92,5473
93,5917
94,5391
95,4758
96,5625
97,6249
98,2619
99,1252
100,1386
101,1544
102,1395
103,353
104,938
105,1096
106,2367
107,5732
108,5475
109,5717
110,4958
111,5988
112,5186
113,5808
114,4678
115,6659
116,5842
117,5900
118,1616
119,2813
120,3750
121,4256
122,3888
123,3942
124,3371
125,4167
126,4311
127,4032
128,4793
129,4661
130,4413
131,4811
132,4956
133,4483
134,4634
135,5140
136,6067
137,6088
138,6088
139,5045
140,5949
141,3782
142,2610
143,2479
144,4636
145,5097
146,4327
147,4127
148,4704
149,5179
150,5822
151,2572
152,1433
153,828
154,1069
155,5556
156,5117
157,5349
158,4564
159,4472
160,0
161,8161
162,8295
163,5517
164,3586
165,4977
166,4415
167,4825
168,4709
169,5461
170,1189
171,5134
172,4181
173,4696
174,5570
175,1542
176,1276
177,2007
178,6784
179,5001
180,5568
181,6276
182,5088
183,4578
184,4301
185,4467
186,7735
187,6170
188,6296
189,3836
190,3967
191,4359
192,4723
193,4885
194,5098
195,4324
196,1171
197,4551
198,3778
199,4513
200,5017
201,1419
202,1341
203,5998
204,4574
205,4613
206,4361
207,4895
208,2701
209,4424
210,5211
211,5475
212,4789
213,5657
214,5300
215,5684
216,5629
217,6152
218,5123
219,6129
220,4661
221,1158
222,1492
223,1216
224,860
225,1004
226,1023
227,1166
228,2958
229,5778
230,0
231,6174
232,6674
233,6392
234,6528
235,6312
236,4085
237,3502
238,2622
239,1779
240,1393
241,1434
242,1342
243,4142
244,5909
245,6162
246,5655
247,6346
248,6281
249,5739
250,5623
251,6114
252,5693
253,5758
254,5586
255,6011
256,5804
257,5957
258,6169
259,4623
260,7966
261,5476
262,6803
263,5870
264,4740
265,2169
266,5663
267,5240
268,5206
269,6111
270,1258
271,917
272,6237
273,3616
274,5877
275,4894
276,7228
277,5045
278,3883
279,3325
280,4309
281,3841
282,3846
283,4577
284,4094
285,4459
286,4512
287,4468
288,4438
289,4809
290,1710
291,1588
292,4591
293,4807
294,5343
295,5042
296,1829
297,5050
298,1339
299,1802
300,1477
301,1551
302,1840
303,1579
304,4689
305,5281
306,5518
307,5980
308,5373
309,5066
310,5165
311,5022
312,4527
313,5191
314,5608
315,5450
316,5225
317,4567
318,4748
319,4234
320,6042
321,5530
322,2981
323,0
324,21133
325,2095
326,4492
327,4084
328,3777
329,4837
330,5262
331,5902
332,3967
333,2790
334,6723
335,7759
336,19460
337,7701
338,4507
339,3370
340,6374
341,6916
342,6835
343,6608
344,5849
345,6442
346,6599
347,6832
348,6371
349,5983
350,6331
351,7017
352,7162
353,6348
354,5870
355,6271
356,5674
357,5748
358,5954
359,5933
360,6192
361,6574
362,6325
363,5739
364,3133
365,3389
366,3479
367,3605
368,4403
369,6855
370,6536
371,6763
372,6089
373,6395
374,6433
375,6580
376,7007
377,6233
378,7036
379,6777
380,7307
381,7412
382,6512
383,5148
384,4712
385,4572
386,4175
387,4254
388,4611
389,4091
390,1829
391,4062
392,4768
393,5589
394,5411
395,6469
396,9048
397,7720
398,7530
399,7327
400,8791
401,10034
402,0
403,9262
404,7950
405,6245
406,7738
407,6764
408,6965
