,transit
647,3220
648,3762
649,3962
650,3864
651,3249
652,6458
653,3134
654,1858
655,1828
656,1986
657,4473
658,4550
659,3782
660,0
661,4112
662,4730
663,2322
664,5699
665,6517
666,5198
667,4738
668,5014
669,0
670,4612
671,5257
672,7006
673,5817
674,1845
675,2339
676,1000
677,1722
678,2079
679,1222
680,2098
681,5909
682,3816
683,2587
684,3573
685,4874
686,4801
687,5484
688,5449
689,5440
690,4755
691,2587
692,1943
693,5069
694,3477
695,5033
696,2357
697,5066
698,6213
699,6316
700,1723
701,453
702,3945
703,4741
704,6608
705,409
706,1350
707,1898
708,2613
709,2719
710,2026
711,2575
712,2687
713,3639
714,6164
715,3315
716,4088
717,4556
718,3800
719,1803
720,1773
721,3576
722,4227
723,3727
724,3560
725,5892
726,4914
727,2351
728,6120
729,5353
730,3936
731,0
732,660
733,1994
734,3648
735,2533
736,2695
737,5964
738,5349
739,4411
740,3632
741,1937
742,5679
743,6265
744,5828
745,4074
746,6669
747,6673
748,584
749,2857
750,2215
751,3233
752,3771
753,3115
754,6103
755,3929
756,5384
757,5564
758,5853
759,3599
760,4234
761,6375
762,6232
763,5274
764,5742
765,5469
766,4886
767,4154
768,4276
769,4716
770,5427
771,2393
772,2470
773,878
774,5822
775,943
776,4050
777,2660
778,3898
779,5262
780,2829
781,3700
782,2762
783,4522
784,5613
785,478
786,2341
787,4463
788,3862
789,4443
790,2148
791,5854
792,5048
793,5117
794,2309
795,4267
796,1296
797,3443
798,3803
799,3472
800,3199
801,608
802,4123
803,2189
804,4744
805,3392
806,4450
807,4792
808,2178
809,5710
810,6775
811,4438
812,3891
813,251
814,2126
815,2220
816,2785
817,2613
818,3359
819,4034
820,2664
821,3319
822,6418
823,4673
824,4735
825,2311
826,4936
827,6857
828,4835
829,3559
830,3190
831,5977
832,4406
833,1328
834,3968
835,2905
836,1741
837,4299
838,2984
839,3097
840,3197
841,4663
842,4310
843,3421
844,3089
845,3075
846,3306
847,2801
848,0
849,4867
850,3958
851,4365
852,4311
853,4097
854,4498
855,2309
856,2534
857,4546
858,4394
859,5853
860,4933
861,3736
862,3267
863,3568
864,3588
865,3499
866,7372
867,7900
868,3012
869,6391
870,0
871,0
872,4493
873,4691
874,4334
875,1027
876,5007
877,6607
878,5727
879,3490
880,6421
881,4254
882,835
883,509
884,2734
885,4183
886,3372
887,4541
888,4170
889,4327
890,2654
891,4733
892,3286
893,3559
894,3581
895,5105
896,1298
897,513
898,3781
899,1220
900,3434
901,4304
902,3998
903,3910
904,4176
905,5373
906,5593
907,2878
908,877
909,605
910,3297
911,3426
912,4819
913,4470
914,4555
915,1271
916,1846
917,2993
918,2176
919,3981
920,3923
921,3649
922,3823
923,3752
924,3355
925,5980
926,3010
927,6932
928,2778
929,2612
930,1805
931,3482
932,2832
933,1547
934,3336
935,5251
936,4651
937,5066
938,1898
939,2170
940,4311
941,4428
942,3968
943,1236
944,3735
945,3679
946,5183
947,3579
948,5864
949,3561
950,6111
951,0
952,2711
953,3477
954,7600
955,4948
956,195
957,3244
958,3875
959,6110
960,5912
961,5899
962,5272
963,2534
964,2457
965,5279
966,5703
967,7098
968,4891
969,6103
970,5481
971,7565
972,8441
973,2204
974,3597
975,5341
976,5507
977,5928
978,5387
979,5874
980,963
981,6043
982,5620
983,2417
984,3770
985,4844
986,4928
987,4727
988,4835
989,5430
990,5297
991,4447
992,2378
993,2382
994,3454
995,5430
996,7345
997,6645
998,3068
999,1794
1000,4023
1001,3070
1002,2990
1003,4554
1004,3355
1005,4633
1006,3460
1007,3528
1008,3732
1009,3685
1010,4738
1011,4582
1012,5046
1013,5157
1014,5076
1015,4604
1016,4417
1017,4168
1018,4058
1019,4595
1020,4224
1021,3478
1022,3784
1023,4215
1024,5739
1025,3546
1026,3766
1027,3374
1028,3417
1029,6196
1030,0
1031,5859
1032,3600
1033,5154
1034,4022
1035,6950
1036,4803
1037,5534
1038,3349
1039,5881
1040,4422
1041,4774
1042,4298
1043,3464
1044,2825
1045,3227
1046,1820
1047,2325
1048,3395
1049,3532
1050,5664
1051,5642
1052,5434
1053,5465
1054,4431
1055,6102
1056,6445
1057,5668
1058,5880
1059,4135
1060,4101
1061,6006
1062,5997
1063,5525
1064,5197
1065,2710
1066,6496
1067,6755
1068,6635
1069,6485
1070,6061
1071,4151
1072,5279
1073,6868
1074,7144
1075,7527
1076,4952
1077,6621
1078,5773
1079,4467
1080,2805
1081,3326
1082,2708
1083,4759
1084,6104
1085,5066
1086,5894
1087,4969
1088,7156
1089,6172
1090,587
1091,5942
1092,6584
1093,0
1094,6010
1095,6112
1096,2503
1097,3096
1098,2136
1099,1225
1100,1532
1101,3163
1102,1846
1103,2438
1104,3650
1105,4240
1106,4156
1107,3743
1108,4104
1109,4401
1110,5159
1111,4856
1112,4038
1113,1505
1114,663
1115,1277
1116,3745
1117,4200
1118,3307
1119,3462
1120,4325
1121,4309
1122,3931
1123,4938
1124,1473
1125,1619
1126,4666
1127,3902
1128,1518
1129,1305
1130,787
1131,4396
1132,2993
1133,2964
1134,6114
1135,4433
1136,4093
1137,4540
1138,4425
1139,4038
1140,4713
1141,5052
1142,4269
1143,0
