,transit
0,0
1,8901
2,6981
3,2781
4,7583
5,6433
6,2104
7,1230
8,3932
9,1179
10,2045
11,4240
12,2079
13,3483
14,4123
15,5798
16,5024
17,3311
18,2358
19,4464
20,1882
21,2170
22,1937
23,1154
24,5696
25,6143
26,6435
27,5870
28,0
29,2987
30,1950
31,1354
32,5826
33,6493
34,1309
35,1077
36,711
37,5838
38,6425
39,3590
40,1977
41,2039
42,5693
43,5026
44,5992
45,2745
46,3439
47,3114
48,2135
49,2304
50,2846
51,5757
52,4656
53,7546
54,422
55,2548
56,1966
57,3585
58,4126
59,4112
60,4225
61,4322
62,6031
63,4338
64,4699
65,5468
66,5351
67,5499
68,5088
69,5038
70,2506
71,0
72,4063
73,6591
74,6102
75,6193
76,5220
77,5927
78,4326
79,3601
80,5538
81,2189
82,3717
83,1640
84,1766
85,1633
86,3056
87,3892
88,2521
89,2867
90,2764
91,1127
92,835
93,736
94,650
95,1159
96,1234
97,1263
98,1000
99,1532
100,794
101,1528
102,1504
103,3063
104,5182
105,4847
106,2004
107,3069
108,3429
109,2758
110,3179
111,1663
112,1489
113,101
114,1485
115,7971
116,5084
117,4526
118,4015
119,5282
120,4921
121,0
122,2929
123,2403
124,1504
125,3024
126,3826
127,3662
128,2185
129,2465
130,2323
131,1004
132,879
133,1496
134,5382
135,1542
136,4431
137,3059
138,0
139,4309
140,2504
141,1788
142,1281
143,979
144,996
145,635
146,1419
147,2382
148,4756
149,2368
150,1386
151,1463
152,5414
153,3400
154,4984
155,4637
156,3796
157,4075
158,4024
159,975
160,739
161,363
162,1280
163,1381
164,1481
165,1507
166,3990
167,4540
168,5762
169,5284
170,3926
171,3166
172,1237
173,2180
174,2082
175,2158
176,1950
177,1901
178,3755
179,0
180,4696
181,4081
182,4019
183,4627
184,2719
185,1683
186,1831
187,1476
188,1906
189,1668
190,1448
191,1281
192,1281
193,1038
194,905
195,958
196,1194
197,921
198,934
199,1089
200,1743
201,1847
202,1640
203,1328
204,4739
205,4030
206,3935
207,4112
208,2048
209,6090
210,5512
211,1751
212,1939
213,305
214,1188
215,1157
216,3275
217,2817
218,2762
219,3097
220,4230
221,0
222,5139
223,5652
224,5151
225,6321
226,5748
227,5075
228,2551
229,0
230,4989
231,0
232,5331
233,5734
234,1804
235,1169
236,1723
237,606
238,2853
239,5227
240,850
241,2758
242,0
243,4649
244,2575
245,1703
246,3548
247,1784
248,0
249,1318
250,1559
251,4017
252,3360
253,4473
254,2158
255,1964
256,2191
257,1156
258,1595
259,1297
260,742
261,289
262,1167
263,1549
264,1605
265,3713
266,5921
267,5052
268,5008
269,2032
270,1502
271,1696
272,1056
273,3526
274,5766
275,6445
276,2763
277,2234
278,3097
279,1474
280,2172
281,4091
282,2096
283,1177
284,910
285,6979
286,1755
287,1942
288,2654
289,3405
290,2119
291,1333
292,816
293,1700
294,1398
295,3264
296,1738
297,2299
298,1900
299,2314
300,2062
301,1586
302,2095
303,1026
304,6308
305,736
306,0
307,20677
308,0
309,2239
310,0
311,4077
312,4137
313,2078
314,2338
315,1528
316,1859
317,4405
318,5227
319,4610
320,4048
321,5582
322,2597
323,3210
324,422
325,1373
326,2316
327,2708
328,3189
329,5923
330,4549
331,1673
332,6113
333,2355
334,4584
335,5326
336,7871
337,7349
338,855
339,1664
340,1612
341,1474
342,4352
343,2249
344,5666
345,5644
346,3425
347,3854
348,2975
349,2723
350,4437
351,3961
352,3335
353,2961
354,6145
355,6998
356,6153
357,5104
358,7998
359,5446
360,6728
361,4942
362,3569
363,3910
364,1080
365,903
366,699
367,1932
368,1850
369,1919
370,1494
371,1665
372,1134
373,2157
374,1553
375,5900
376,0
377,7927
378,6789
379,7353
380,9412
381,6484
382,5382
383,0
384,4422
385,5009
386,1457
387,4653
388,5115
389,3349
390,3177
391,6902
392,6500
393,1691
394,1461
395,1872
396,2298
397,5666
398,1747
399,1123
400,5788
401,6038
402,7456
403,0
404,1287
405,2525
406,0
407,1510
408,1841
409,3110
410,2529
411,3257
412,2797
413,2646
414,2168
415,2000
416,2047
417,2438
418,6158
419,3903
420,3359
421,2150
422,1563
423,1983
424,4572
425,6176
426,0
427,912
428,4221
429,3405
430,2463
431,1866
432,2404
433,1726
434,1762
435,5197
436,5232
437,7039
438,7012
439,3755
440,2769
441,4988
442,4899
443,5940
444,5480
445,3397
446,3415
447,1695
448,1217
449,2683
450,2739
451,4850
452,5226
453,6215
454,6129
455,5475
456,5628
457,5654
458,4416
459,2330
460,7405
461,3555
462,5231
463,4361
464,2269
465,2100
466,3598
467,2189
468,5016
469,4334
470,3095
471,1339
472,1114
473,2003
474,917
475,1085
476,0
477,3377
478,0
479,2698
480,0
481,3840
482,2588
483,4196
484,4047
485,5423
486,4438
487,1742
488,1142
489,2105
490,5707
491,5697
492,5001
493,5442
494,5749
495,3448
496,806
497,1682
498,4533
499,4265
500,2884
501,2167
502,6302
503,512
504,2026
505,1179
506,1850
507,2739
508,3028
509,1867
510,3770
511,2639
512,2921
513,2771
514,3603
515,2152
516,2634
517,2402
518,2784
519,2525
520,1322
521,1408
522,2115
523,2466
524,1933
525,2303
526,5304
527,6361
528,5814
529,5677
530,4481
531,5227
532,5130
533,4069
534,4152
535,3515
536,3604
537,3106
538,1389
539,987
540,844
541,813
542,1004
543,1735
544,1134
545,3449
546,5708
547,5165
548,5734
549,5376
550,2425
551,0
552,2378
553,2379
554,0
555,2268
556,4416
557,1256
558,4058
559,5646
560,4634
561,4685
562,5796
563,3404
564,3341
565,2739
566,2967
567,4034
568,3585
569,2450
570,1537
571,1561
572,2493
573,1858
574,1856
575,2834
576,1987
577,2429
578,5607
579,3820
580,4422
581,3698
582,5430
583,6100
584,6129
585,4367
586,4362
587,3365
588,3247
589,3225
590,1207
591,1636
592,1620
593,1136
594,911
595,2092
596,2475
597,2721
598,5549
599,4942
600,5835
601,5557
602,6706
603,6190
604,8218
605,2844
606,2389
607,0
608,1239
609,1159
610,1237
611,4383
612,4061
613,5888
614,6094
615,2881
616,2482
617,2225
618,1999
619,2355
620,5293
621,3371
622,4092
623,4089
624,3165
625,3231
626,1136
627,1505
628,2000
629,923
630,2416
631,6897
632,5972
633,2940
634,3011
635,3300
636,2821
637,662
638,3121
639,4440
640,4242
641,6204
642,2905
643,5015
644,678
645,6334
646,0
647,3222
648,4814
649,2379
650,1761
651,1037
652,5867
653,5369
654,4474
655,5226
656,5367
657,2891
658,2390
659,3118
660,2122
661,3808
662,3283
663,5531
664,5202
665,5223
666,6376
667,4221
668,1547
669,2383
670,1847
671,2342
672,3174
673,4644
674,5242
675,4975
676,5748
677,6759
678,0
679,2387
680,1379
681,1177
682,5370
683,6365
684,3399
685,5415
686,4997
687,5167
688,2870
689,2379
690,2855
691,2999
692,2171
693,2828
694,3114
695,2751
696,2817
697,2242
698,2527
699,2458
700,2835
701,2746
702,2526
703,2485
704,2416
705,2518
706,2379
707,2255
708,3250
709,2612
710,1790
711,1825
712,1773
713,1750
714,2672
715,1775
716,1973
717,1919
718,2277
719,2280
720,2229
721,1900
722,1587
723,2124
724,2224
725,2254
726,2038
727,1759
728,1984
729,1721
730,1526
731,1501
732,2954
733,3268
734,3093
735,3115
736,2355
737,2532
738,5561
739,6318
740,5782
741,5271
742,4668
743,4704
744,3559
745,3617
746,4914
747,6068
748,3706
749,3346
750,5389
751,5979
752,3593
753,3360
754,3304
755,1969
756,3012
757,1765
758,1015
759,1525
760,1405
761,1696
762,959
763,1340
764,907
765,744
766,1022
767,2275
768,1828
769,4893
770,3030
771,5361
772,5716
773,5617
774,6160
775,5805
776,5594
777,5461
778,0
779,2624
780,5076
781,1867
782,671
783,2615
784,917
785,3110
786,1095
787,4738
788,3011
789,1836
790,3036
791,4009
792,5770
793,2997
794,3034
795,2190
796,3220
797,6215
