,transit
0,19547
1,20035
2,18207
3,20461
4,2752
5,1140
6,2689
7,18102
8,15392
9,17445
10,8181
11,14538
12,18204
13,15383
14,18099
15,15119
16,15673
17,18165
18,18674
19,20281
20,18737
21,19012
22,16917
23,17353
24,17548
25,14268
26,16485
27,17918
28,20186
29,20434
30,16091
31,19571
32,3173
33,2145
34,1109
35,888
36,16332
37,16122
38,18668
39,0
40,5114
41,4933
42,5191
43,4772
44,5189
45,4491
46,4467
47,5032
48,5165
49,5097
50,4275
51,3212
52,2801
53,3162
54,3349
55,3718
56,4969
57,2866
58,3064
59,4834
60,4926
61,5230
62,6541
63,6062
64,4260
65,3602
66,4166
67,4782
68,4602
69,5287
70,4498
71,5352
72,5211
73,4624
74,4963
75,4587
76,4348
77,4455
78,6985
79,6301
80,5856
81,5022
82,5356
83,4436
84,0
85,4176
86,3455
87,2879
88,1159
89,2551
90,1136
91,1273
92,3167
93,2552
94,2975
95,7697
96,3787
97,3642
98,3717
99,2110
100,4171
101,4592
102,4476
103,4917
104,5415
105,5581
106,7343
107,5476
108,3491
109,2183
110,21414
111,23144
112,22646
113,22991
114,0
115,21993
116,21891
117,23050
118,23392
119,0
120,0
121,24222
122,23217
123,23243
124,21613
125,0
126,2290
127,3037
128,1789
129,0
130,2024
131,1100
132,3381
133,2747
134,3484
135,24635
136,24876
137,12904
138,21436
139,20709
140,5333
141,6864
142,3270
143,4359
144,3860
145,15721
146,17606
147,21605
148,0
149,2287
150,2252
151,0
152,20684
153,18596
154,20654
155,476
156,4174
157,4119
158,4735
159,4810
160,5258
161,5309
162,4600
163,6185
164,5989
165,4532
166,4302
167,5981
168,6235
169,1298
170,3335
171,5984
172,5477
173,5060
174,4192
175,5141
176,4616
177,4541
178,5221
179,5069
180,4213
181,5651
182,5118
183,5554
184,5204
185,5430
186,5015
187,5169
188,5091
189,4963
190,5053
191,4732
192,4841
193,4781
194,4930
195,4804
196,4926
197,4758
198,4492
199,4569
200,4596
201,4562
202,3972
203,5091
204,5181
205,5273
206,5216
207,5113
208,5237
209,5253
210,5406
211,5393
212,5429
213,5333
214,4885
215,4820
216,4218
217,4662
218,3583
219,3238
220,3453
221,3042
222,3403
223,4513
224,5077
225,4956
226,4967
227,4892
228,5262
229,6183
230,5661
231,5456
232,6092
233,6739
234,5611
235,5598
236,6179
237,5951
238,6427
239,6038
240,7160
241,5999
242,4865
243,3868
244,4174
245,5754
246,3645
247,4329
248,3960
249,4244
250,4184
251,3860
252,3953
253,4012
254,4272
255,4398
256,4572
257,3984
258,4384
259,4475
260,4549
261,4108
262,4291
263,4515
264,4351
265,4629
266,5599
267,4784
268,4344
269,4195
270,5586
271,6500
272,6222
273,6046
274,6318
275,6014
276,6590
277,6005
278,3852
279,3487
280,4137
281,2829
282,4413
283,4534
284,4898
285,4766
286,5200
287,5229
288,4524
289,5898
290,7884
291,7401
292,5779
293,5663
294,6665
295,6301
296,6374
297,5362
298,5100
299,5823
300,5639
301,6187
302,5916
303,5263
304,5962
305,6109
306,5753
307,6008
308,6252
309,6302
310,4818
311,5499
312,5031
313,5077
314,5164
315,5450
316,3486
317,4228
318,4751
319,4783
320,2501
321,3161
322,3183
323,3616
324,3245
325,3433
326,5196
327,2422
328,2338
329,3135
330,1721
331,1465
332,713
333,2456
334,2018
335,1695
336,2929
337,1831
338,2773
339,1918
340,1908
341,1627
342,3956
343,3297
344,2915
345,2745
346,3757
347,2267
348,3003
349,2656
350,825
351,992
352,844
353,655
354,1534
355,1734
356,1600
357,212
358,0
359,1364
360,1740
361,1106
362,1010
363,2136
364,1844
365,2313
366,2154
367,0
368,7715
369,7017
370,3526
371,3348
372,3541
373,3381
374,4276
375,3002
376,2939
377,3143
378,2736
379,2969
380,3469
381,3616
382,3001
