,transit
0,1168
1,491
2,602
3,1861
4,1352
5,4559
6,4114
7,4498
8,5609
9,5395
10,6814
11,5628
12,4747
13,4546
14,4787
15,4748
16,4296
17,4456
18,4082
19,3898
20,2654
21,1705
22,3894
23,3138
24,3525
25,3189
26,3905
27,3718
28,5282
29,2644
30,3148
31,3308
32,2512
33,3295
34,2774
35,804
36,1885
37,2745
38,2318
39,5691
40,4787
41,2711
42,6024
43,4093
44,1730
45,2533
46,5249
47,3574
48,1952
49,1181
50,969
51,1691
52,955
53,4629
54,4264
55,4646
56,4277
57,4349
58,5476
59,4803
60,5335
61,3752
62,2119
63,2294
64,3894
65,3507
66,3661
67,3141
68,2762
69,1997
70,2214
71,2453
72,2736
73,2964
74,1927
75,2249
76,2062
77,2348
78,2210
79,2119
80,2000
81,3511
82,2473
83,1923
84,2069
85,2144
86,1739
87,3846
88,3796
89,3178
90,3423
91,3573
92,3353
93,3657
94,3259
95,3148
96,3189
97,3946
98,1485
99,3353
100,1407
101,868
102,299
103,1171
104,3437
105,1503
106,1711
107,1511
108,1153
109,1466
110,2785
111,3365
112,3729
113,4028
114,4025
115,3981
116,4910
117,5171
118,4256
119,4298
120,4513
121,3022
122,3422
123,2731
124,2679
125,3213
126,593
127,647
128,540
129,1590
130,0
131,4644
132,4598
133,3276
134,2698
135,2574
136,5421
137,5764
138,0
139,4704
140,1773
141,1485
142,1888
143,2771
144,2332
145,4270
146,3546
147,2199
148,2608
149,1977
150,2440
151,2712
152,2650
153,2575
154,2282
155,2517
156,2543
157,3147
158,2824
159,3040
160,2428
161,2198
162,2340
163,2325
164,2095
165,2298
166,1529
167,2236
168,1846
169,2239
170,2493
171,2525
172,2850
173,2545
174,3010
175,3002
176,2802
177,3587
178,3165
179,3322
180,3171
181,2995
182,3041
183,3095
184,2960
185,2760
186,2085
187,1853
188,1999
189,2238
190,2022
191,1966
192,2186
193,2344
194,3337
195,1906
196,3027
197,3254
198,1668
199,1822
200,2025
201,3699
202,3847
203,3504
204,3548
205,3859
206,4421
207,3496
208,4158
209,3559
210,3234
211,4016
212,3401
213,3520
214,3265
215,0
216,0
217,2895
218,1964
219,1997
220,2200
221,809
222,1593
223,1230
224,1367
225,1548
226,1441
227,1841
228,2908
229,3234
230,1034
231,1133
232,764
233,829
234,1245
235,1174
236,617
237,1480
238,1768
239,1387
240,2302
241,1327
242,2082
243,1579
244,1616
245,1814
246,1648
247,2232
248,1833
249,1442
250,1145
251,1541
252,3960
253,4597
254,4004
255,3655
256,3603
257,3667
258,5597
259,5723
260,4622
261,4181
262,4487
263,4633
264,4408
265,3892
266,4408
267,3910
268,4245
269,4857
270,3296
271,3832
272,3776
273,4047
274,4089
275,4390
276,4022
277,4611
278,4681
279,5220
280,5319
281,4554
282,4720
283,4630
284,4460
285,4398
286,4067
287,4990
288,5116
289,5262
290,4252
291,5330
292,0
293,4716
294,4741
295,4632
296,4494
297,4658
298,3530
299,3785
300,3838
301,4276
302,4589
303,3845
304,3781
305,4296
306,4608
307,4771
308,4532
309,4684
310,4030
311,3379
312,3945
313,4278
314,2408
315,3469
316,3697
317,3634
318,3307
319,2997
320,2777
321,3449
322,2900
323,2804
324,2635
325,2714
326,3289
327,3366
328,1840
329,1244
330,1801
331,1167
332,1004
333,1463
334,2400
335,1739
336,1940
337,2578
338,4828
339,4683
340,2496
341,2433
342,2493
343,3092
344,2737
345,2617
346,2944
347,1994
348,2802
349,2351
350,2875
351,3267
352,3259
353,3619
354,3633
355,3352
356,3213
357,2931
358,2683
359,2650
360,2465
361,6459
362,0
363,1888
364,2388
365,1957
366,2293
367,1901
368,1764
369,2371
370,2564
371,1983
372,2132
373,3143
374,2386
375,1799
376,1830
377,2283
378,1910
379,1597
380,2111
381,1962
382,2183
383,3410
384,2766
385,2409
386,3407
387,1677
388,1525
389,3640
390,3145
391,3206
392,2188
393,4452
394,1617
395,1269
396,2401
397,1001
398,809
399,734
400,988
401,1908
402,2497
403,1686
404,1420
405,1062
406,1103
407,2506
408,5412
409,3357
410,1868
411,3853
412,4578
413,4078
414,4408
415,3968
416,4138
417,3809
418,3792
419,4149
420,4274
421,3812
422,3426
423,2874
424,1465
425,1807
426,3075
427,2517
428,3341
429,2715
430,2408
431,2303
432,3090
433,3376
434,2198
435,2447
436,5631
437,0
438,1801
439,2443
440,2012
441,4309
442,3202
443,2920
444,3068
445,3476
446,2901
447,1786
448,1802
449,1658
450,1617
451,1657
452,1260
453,1962
454,2515
455,3370
456,3420
457,2650
458,2504
459,2024
460,2297
461,2115
462,2143
463,2371
464,2383
465,2639
466,2756
467,2678
468,2241
469,2271
470,2111
471,1749
472,2204
473,1383
474,2033
475,1926
476,2082
477,2198
478,1953
479,1865
480,1950
481,2235
482,2072
483,3441
484,3449
485,2805
486,2431
487,2289
488,2212
489,2641
490,2282
491,1629
492,1853
493,1711
494,1821
495,2092
496,2105
497,1704
498,1826
499,1669
500,2617
501,2291
502,3114
503,1481
504,1760
505,2884
506,3005
507,1564
508,2831
509,3179
510,3702
511,4148
512,3932
513,3425
514,3799
515,2815
516,3332
517,3555
518,3653
519,3282
520,3876
521,4432
522,3550
523,3733
524,3277
525,3701
526,3883
527,3141
528,3037
529,3291
530,3110
531,2917
532,2407
533,2522
534,2494
535,4063
536,3251
537,2338
538,2637
539,1584
540,1089
541,1271
542,1247
543,1554
544,2025
545,2294
546,1979
547,1936
548,2746
549,1531
550,1553
551,1941
552,1871
553,1444
554,912
555,1556
556,1125
557,894
558,1032
559,773
560,588
561,786
562,826
563,1964
564,2536
565,2442
566,2176
567,2558
568,1337
569,1605
570,845
571,1342
572,984
573,1300
574,1142
575,1495
576,1245
577,1303
578,1392
579,1074
580,3083
581,2577
582,2363
583,3621
584,3832
585,3754
586,3164
587,3006
588,3616
589,2472
590,4517
591,3961
592,4155
593,4308
594,3873
595,4621
596,4464
597,2935
598,3748
599,4007
600,4531
601,5547
602,4525
603,4611
604,4145
605,4327
606,3748
607,4034
608,3028
609,4134
610,4365
611,4318
612,3910
613,4039
614,3545
615,4145
616,4507
617,3982
618,4265
619,3736
620,2059
621,2542
622,2669
623,2321
624,3142
625,2867
626,2606
627,2433
628,2662
629,2888
630,2913
631,2328
632,2039
633,1630
634,2012
635,1922
636,1912
637,0
638,2233
639,2770
640,4545
641,4860
642,3146
643,3243
644,3249
645,2986
646,1879
647,2618
648,2503
649,3684
650,3798
651,3187
652,4258
653,3154
654,3053
655,3083
656,3930
657,3353
658,3166
659,2237
660,2756
661,2516
662,0
663,5053
664,0
665,0
666,0
667,0
668,1989
669,1844
670,2494
671,2061
672,3333
673,1774
674,2753
675,2972
676,2940
677,2126
678,2145
679,1618
680,5207
681,2262
682,3341
683,2826
684,3029
685,2837
686,2380
687,2135
688,2716
689,2504
690,3656
691,2944
692,2997
693,2272
694,2399
695,3233
696,1965
697,3568
698,3912
699,3088
700,3392
701,3250
702,5244
703,2235
704,2989
705,1519
706,1293
707,720
708,239
709,2429
710,2331
711,1802
712,2066
713,2583
714,4836
715,4782
716,3797
717,3722
718,4048
719,4301
720,4294
721,4950
722,5051
723,4601
724,5933
725,4843
726,4463
727,4390
728,3957
729,2946
730,3018
731,3222
732,2815
733,3667
